batch,sample,elapsed_s,S1_Bx,S1_By,S1_Bz,S2_Bx,S2_By,S2_Bz
0,82,2.742740,-0.098000,0.196000,-0.098000,0.098000,0.196000,0.000000
0,83,2.776135,0.000000,0.098000,-0.098000,0.294000,0.098000,0.098000
0,84,2.809527,-0.098000,0.196000,0.098000,0.098000,0.098000,-0.098000
0,85,2.842908,-0.196000,0.098000,-0.098000,0.196000,-0.098000,-0.098000
0,86,2.876326,0.000000,0.294000,0.000000,0.000000,0.196000,0.000000
0,87,2.909766,0.098000,0.196000,-0.098000,0.000000,0.098000,0.000000
0,88,2.943165,-0.294000,-0.196000,0.098000,0.098000,0.000000,-0.098000
0,89,2.976558,0.000000,0.000000,0.196000,0.000000,0.000000,-0.098000
0,90,3.009955,0.000000,0.196000,-0.196000,0.098000,0.000000,0.000000
0,91,3.043392,-0.098000,0.196000,0.098000,0.196000,0.000000,0.000000
0,92,3.076791,-0.098000,0.000000,0.000000,0.000000,0.000000,0.196000
0,93,3.110219,-0.098000,0.196000,0.098000,0.196000,0.196000,0.098000
0,94,3.143606,0.000000,0.098000,0.098000,0.098000,0.098000,-0.098000
0,95,3.176994,-0.098000,0.098000,0.000000,0.098000,-0.098000,-0.196000
0,96,3.210383,0.098000,0.098000,0.098000,0.098000,-0.098000,0.098000
0,97,3.243770,0.000000,-0.098000,0.000000,0.000000,0.000000,-0.098000
0,98,3.277182,0.000000,0.196000,0.000000,0.000000,0.000000,-0.098000
0,99,3.310605,0.000000,0.000000,-0.098000,0.098000,0.000000,0.000000
0,100,3.344010,0.000000,0.196000,0.098000,-0.098000,0.000000,0.000000
0,101,3.377406,-0.098000,0.098000,-0.196000,0.098000,0.000000,0.000000
0,102,3.410817,0.000000,0.196000,0.098000,0.294000,0.098000,-0.098000
0,103,3.444220,-0.196000,0.098000,-0.196000,0.196000,0.196000,0.098000
0,104,3.477615,0.000000,0.098000,-0.196000,0.098000,0.196000,0.000000
0,105,3.511054,-0.294000,0.196000,0.098000,0.196000,0.000000,0.000000
0,106,3.544456,0.098000,0.098000,-0.098000,0.000000,0.294000,0.000000
0,107,3.577848,0.000000,0.000000,0.098000,0.000000,-0.196000,0.000000
0,108,3.611244,-0.098000,0.000000,0.392000,0.196000,0.196000,0.000000
0,109,3.644642,-0.098000,0.000000,-0.098000,0.098000,0.196000,-0.098000
0,110,3.678038,0.000000,0.196000,-0.196000,0.098000,0.196000,-0.098000
0,111,3.711452,0.000000,-0.098000,0.098000,0.098000,0.000000,0.000000
0,112,3.744850,0.000000,-0.098000,0.000000,0.000000,0.098000,-0.196000
0,113,3.778239,0.098000,-0.098000,0.000000,0.000000,0.098000,0.000000
0,114,3.811625,0.000000,0.000000,-0.098000,0.000000,0.000000,0.000000
0,115,3.845018,-0.196000,-0.098000,0.196000,0.196000,0.098000,-0.098000
